customer_tweet_id,customer_message,intent,confidence,notes
1952986,@AmericanAir can't wait to switch to a @Delta member.,non_support,high,Casual comment expressing brand preference without support request
548815,@AmericanAir Must be a long walk.........,non_support,high,Sarcastic reaction to flight/gate walking distance
2308158,@AmericanAir Thanks! Will DM you,follow_up,high,Continuing support conversation via DM
1528201,@AmericanAir ALready did and no help. very deceitful practices,follow_up,high,Following up on prior unhelpful DM interaction
2813114,@AmericanAir Thank you!! Hoping it works out.,non_support,high,Polite closing remark with thanks
1075780,@AmericanAir Of course no response. Because you don’t care,follow_up,high,Follow-up complaining about lack of response
775494,@AmericanAir Please DM ME,contact_support,high,Explicit request for direct support contact
2075103,@AmericanAir DMing now. Thanks.,follow_up,high,Confirming DM is being sent to support
578855,@AmericanAir Sounds great. Thank you!,non_support,high,Friendly closing acknowledgement
1358740,@AmericanAir 3114,follow_up,high,Supplying requested flight number in ongoing thread
821839,@AmericanAir Possible cancellation???,flight_information,high,Inquiring about potential flight cancellation status
2943930,@AmericanAir Same story different day. 2 weeks later...,follow_up,medium,Referencing ongoing unresolved issue from weeks prior
1084569,@AmericanAir I appreciate that @AmericanAir,non_support,high,Expression of appreciation
1671871,@AmericanAir @508852 Thats soo cumming :) :P 😗,non_support,high,Casual banter not requiring support
185681,@AmericanAir  https://t.co/KSQSEKWRff,other_unclear,medium,Link posted without context or actionable inquiry
1103882,@AmericanAir All is well! Fixed it with an agent,non_support,high,Informing issue was resolved with agent
1224737,@AmericanAir Isn’t that convenient? #lame,non_support,high,Sarcastic rhetorical comment
2174392,@AmericanAir WA 🌎,other_unclear,high,Ambiguous text and emoji without clear intent
2057543,@AmericanAir Thanks - DM'ing now,follow_up,high,Confirming DM sent in ongoing conversation
2710227,@AmericanAir AA 2767 out of MIA to EWR.,follow_up,high,Providing flight routing details to support
2699896,@AmericanAir @758493 Have a safe flight back,non_support,high,Well wishes to another passenger
1803430,@AmericanAir Flight 1904,follow_up,high,Providing flight number in ongoing exchange
994691,@AmericanAir Yes I did ...,follow_up,high,Answering prior question from support
2417180,@AmericanAir Thank you for keeping us safe in the air.,non_support,high,Compliment thanking airline for flight safety
664494,@AmericanAir I've just sent you a copy of your message,follow_up,high,Confirming message sent to support
106586,@AmericanAir Yeah...not me though. https://t.co/V6fSMyqDaW,non_support,medium,Casual remark accompanied by external link
