customer_tweet_id,customer_message,brand_response,message_length
2772144,@AmericanAir Not cutting it. You should learn from @115879 ‘s automated responses,@504066 We're sorry for the delay. We'll have you in the air as soon as we can and we appreciate your patience.,12
2387549,"@AmericanAir Nah, I'll just post them live thanks #SharingIsCaring",@330121 We're happy to help in anyway we can. Please follow and share the details in DMs.,9
1526375,@AmericanAir Your airport team has been no help. Told me to call customer service instead of rescheduling my flight. Everyone keeps passing the buck.,@474024 We're very sorry we weren't able to confirm you on your preferred flight right away. Please continue working with our airport team.,24
2174345,@AmericanAir Now she has to miss a major 5 figure deal she is needed to be a part of. They weren’t accommodating at all and closed the gate before the 10 Min window.,"@637533 What's wrong, Camille. We'd like to help if we can.",33
937000,@AmericanAir What number can I call,@342125 We're unable to refund a ticket for a trip you're taking. Please let us know if we can help in someway.,6
2189703,"@AmericanAir But how can one penalize someone for not filling a seat that they have already paid for?  If anything, they should be reimbursed if their seat is filled by someone else, yes?",@641060 It depends on the type of ticket you hold. Please call our folks in Reservations at 800-433-7300 and they'll take a peek at your fare.,33
297508,@AmericanAir 👍🏽,@186869 Our gate team will make sure everyone is taken great care of. Please let their team know if you have questions.,2
1806422,"@AmericanAir Why a change fee when this was caused by a natural disaster? Since a fire prevented me from going to Santa Rosa, I have to pay $200/ticket? https://t.co/yqNpgrFLY9",@542725 We're working with our customers to assist them as best as possible. Please DM your record locator so we can look into this further.,29
2810436,"@AmericanAir Saying sorry is not a solution. Quite disappointed in my first experience with American, could be my last.","@783762 We're sorry you're not enjoying yourself, Alex. We always want you to have a great experience with us.",19
1426405,"@AmericanAir For 2 years I have been traveling w @AmericanAir and never get upgraded, I am tired of this. With @delta I was always upgraded.","@279772 We always want you up front with us, Selma, and we're so sorry we were unable to upgrade you today.",25
1329877,@AmericanAir @127032 I’m curious to know what they DMd you???,@127032 Please check your DMs for a message.,10
1393108,@AmericanAir And I understand safety but flight staff acting like it is an inconvenience to answer questions is my main issue.,@444007 Safety is our top priority and we apologize for the delay. Our team's preparing as quickly as they can for takeoff.,21
2928217,@AmericanAir Por todas las redes sociales seguire dia tras dia señalando a @AmericanAir como una compañia poco seria y sinvergüenza,@810097 Please continue to work with our baggage folks. Well have you reunited with your bag as soon as possible.,20
86529,"@AmericanAir And if you don't, then what am I supposed to do? I'm flying out of DFW, which is where WaPo says most of the flights without pilots are. Would appreciate a chance to cancel without penalty rather than hold my breath you'll get it fixed in time.","@134908 We know how important the holidays are and fully expect to avoid cancellations during this time, Kristen.",48
832405,@AmericanAir Should’ve booked on AA. Rushing to NYC for an urgent meeting and will now miss it thanks to the @JetBlue delay.,"@318258 Yes, Piyush. AA18 is currently on time.",22
1018385,@AmericanAir Now a flight from Charlotte 2 SFO that I can’t use my computer because there is no power &amp; can’t watch or listen to anything either.  Bleh!,@360958 We have a responsibility to handle every situation with professionalism and we're sorry that you experienced differently today.,28
567259,@AmericanAir Least of my worries now. Waiting over an hour for my bag was just unacceptable @AmericanAir,@253049 What a bummer. You can check the ending on your next flight if you can wait that long!,17
2114345,@AmericanAir Sent. Thanks.,"@623378 We'd be happy to help, David. Can you verify in DMs which record locator this in reference to?",3
2296084,@AmericanAir Ahhhhh. Noted. Time for me to diet,"@666652 We do post seat sizes, Stan. Click here to view them on our website. https://t.co/Cqtk8kHZip",8
303276,"@AmericanAir @188393 Unless they don't, in which case, they won't care.","@188393 It's our pleasure to have you fly with us today. Time to sit back, relax and our crew will take great care of you!",11
2615463,@AmericanAir I’m actually flying you guys in a couple weeks see look. I’m very excited https://t.co/ZIxJIRHM6E,@739310 No worries! We'll see you and your friend next time.,16
1178212,@AmericanAir Main issue is people who PAID for Priority &amp; ME trying to do YOUR job by keeping Group 9 from boarding but Gate Agent letting them in,"@397103 We're so sorry to hear that happened, Hugo. Did you ask our gate agent to add you on the list? Give us a moment and meet us in DM.",28
2445414,@AmericanAir Just did. Thank you!,"@311058 Kaitlyn, we always want our customer to be updated with the latest details. Please follow and DM your record locator.",5
858168,@AmericanAir We’re all bronze members friends get priority boarding I don’t very strange. Great Start!!!😡😡😡,"@122134 You'll get plenty of rest flying over the Atlantic, Jonathan. The fun will begin one you arrive in LAS!",15
