intent,predicted_intent,count
follow_up,other_unclear,7
follow_up,non_support,6
follow_up,contact_support,6
flight_disruption,other_unclear,3
other_unclear,non_support,3
non_support,flight_disruption,3
loyalty_upgrade,non_support,3
contact_support,follow_up,3
flight_disruption,non_support,2
other_unclear,refund_compensation,2
non_support,follow_up,2
follow_up,flight_information,2
flight_information,other_unclear,2
airport_gate_staff,other_unclear,2
airport_gate_staff,non_support,2
baggage,airport_gate_staff,2
fees_charges,refund_compensation,1
flight_disruption,contact_support,1
refund_compensation,flight_disruption,1
baggage,fees_charges,1
other_unclear,follow_up,1
non_support,other_unclear,1
baggage,non_support,1
baggage,other_unclear,1
baggage,refund_compensation,1
loyalty_upgrade,flight_information,1
booking_change,flight_disruption,1
follow_up,onboard_aircraft,1
booking_change,loyalty_upgrade,1
booking_change,non_support,1
booking_change,other_unclear,1
follow_up,airport_gate_staff,1
booking_change,refund_compensation,1
flight_information,flight_disruption,1
flight_information,airport_gate_staff,1
check_in,other_unclear,1
flight_disruption,onboard_aircraft,1
contact_support,non_support,1
seat,other_unclear,1
