customer_tweet_id,customer_message,intent,agent_reply,relevance,helpfulness,grounding,clarity
1460835,@AmericanAir @americanair - why not just tell me you updated crew from economy to first.,seat,Please send us your record locator so we can take a closer look. We apologize for any confusion or misinformation.,4,4,5,5
1103882,@AmericanAir All is well! Fixed it with an agent,non_support,Awesome! We're glad to hear everything was sorted out.,5,2,5,5
1411117,@AmericanAir That doesn't seem right,follow_up,"@Customer We can take a closer look for you. Please DM us with the details, and we’ll check it out.",3,4,5,5
2572457,@AmericanAir @729565 @329789 unfortunately the @188323 want to give the Trump boys a private plane tax cut so it will be cheaper for @301294 to bring the slaughter home to share with his family,non_support,"We’re sorry for the concern. We can’t assist with or comment on political statements or claims unrelated to a travel issue. If you need help with an American Airlines reservation, flight, or service concern, please contact American Airlines support directly.",2,3,5,5
1084105,@AmericanAir Also our @46987 is flying @americanair this week as they head into New Orleans! https://t.co/a0qK44K10s,non_support,@375726 That’s just wonderful news! We can’t wait to welcome and meet all these beautiful ladies. We hope you have a great time in New Orleans.,2,1,3,4
858641,@AmericanAir Then she said I had to check it as soon as I walked 1 minute from the plane to boarding gate . They said flight closed,airport_gate_staff,We’re sorry for the trouble. Please send us a DM with your flight number and 6-letter booking code so we can look into what happened and help further.,4,4,5,5
2856026,@AmericanAir 656.  Why?  How many planes are you having toilet problems on?,onboard_aircraft,"@229389 We have an ETD of 4:10p. This will update shortly, and we appreciate your patience.",2,2,4,4
1048352,"@AmericanAir Here’s fine.

AA 4540 (DCA-JFK) moved from Gate 37-&gt;42 with no announcement at 37, sms alert, or on 37’s screen.

One guess on the outcome.",airport_gate_staff,We’re sorry you weren’t advised. Our airport team will go over the next steps with you.,4,3,4,5
294436,@AmericanAir AA told her MUST use the ticket by 2-18 but her nephew's wedding had to be cancelled due to storm.  She has no reason to use the ticket,booking_change,"If the flight was canceled, a refund may be due. Please send a request here: https://t.co/xM8Vkc7BvM. If you'd like us to review the booking, DM your six-letter record locator and we’ll take a look.",4,4,3,5
1728135,@AmericanAir Flight is 100% full.,flight_information,Our apologies. Please speak with our airport team for other flight options that may be available. Were you able to get rebooked to another option?,4,3,5,5
2509196,@AmericanAir The inbound flights arrival time just keeps slipping..... https://t.co/6JaLViSmsZ,flight_disruption,"Hi, if the inbound flight is still en route, the arrival time can change as updated information comes in. We’re currently showing estimated arrival times when available, but if you need the latest details on this flight, please contact American Airlines support.",4,3,4,5
1736540,@AmericanAir I have given the details to countless people and I’m not going to type it all here. Look at my complaints by using my advant number 29F5AD4,contact_support,"We’re sorry for the frustration. We’re not able to view or access account details from this message alone, and we don’t have enough information here to review your complaint.

Please contact American Airlines support directly and have your AAdvantage number ready so an agent can look into your case and provide help.",4,4,5,5
1033182,"@AmericanAir Without at least an acknowledgement that a problem was found and fixed, she does not feel safe reboarding this flight. There *was* a problem",flight_disruption,We’re happy to take a look and help. Please send your flight number so we can check what happened.,2,3,5,5
172593,@AmericanAir Thank you I will let you know when I book everything and stuff I like the Airbuses,non_support,You’re welcome. We look forward to welcoming you on board. Let us know if there’s anything else you’d like us to look into.,4,3,4,5
1177330,"@AmericanAir Nothing personal, just extortonate fare for my most recent trip, SouthWest would have been 25%, then extremely tiny plane. Couldn't fit bag",fees_charges,"We do have low fares too, but it sounds like this flight was pretty full. We’re sorry your bag didn’t fit. We look forward to another opportunity to welcome you onboard soon.",2,1,3,4
1607048,@AmericanAir It’s not the delay @AmericanAir - maint issues happen. It’s the onboard treatment. A bag of pretzels is an insult. Let’s rethink american.,onboard_aircraft,"We’re sorry for the onboard experience. We agree that good communication and care matter, and the team should be keeping customers updated as information becomes available. We’ll share your feedback with the team.",4,2,4,5
701891,"@AmericanAir Yep, meant 5608. This is what 4.5 hours in an airport on Thanksgiving does to a person.",flight_disruption,"We know you want to be on your way, especially after a long Thanksgiving delay. We’re sorry for the extra time in the airport and are glad to help check on an update if you share your flight number.",4,4,5,5
2748742,"@AmericanAir with not so friendly employees. I’m a patient person, but this is unacceptable. Customer service have to be a priority and a good one, because I’m paying for it and the least I expect is bad treatment.",airport_gate_staff,"We’re sorry for the poor experience and understand your frustration. We know your time and business are valuable, and we appreciate your patience.",4,1,5,5
1484538,@AmericanAir In DFW then re-check in the morning. Now you guys are holding my bags here DFW till tomorrow.,baggage,Please work with our airport team directly at DFW for assistance with your bags. We know you’re ready to be reunited.,4,3,4,4
391329,@AmericanAir The total cost came to be $250 for the same flight! This is ridiculous!!!,fees_charges,"We do offer fares that are more flexible with voluntary changes, and one-way fares can sometimes be more expensive. Fees may also apply when you change a reservation. Please contact our team at 800-433-7300 for help with your booking.",4,4,4,4
