customer_tweet_id,customer_message,human_intent
1146874,"@AmericanAir @163646 And again, they don’t get it...",other_unclear
291926,@AmericanAir Yeah in Wednesday it was the same way until the time of departure!  You’ll forgive me if my confidence is at an all time low!,other_unclear
2143131,@AmericanAir Well you’re not doing enough,other_unclear
1426545,@AmericanAir thanks @9484 i have been reunited. just need better and more comm on the ground it would go a long way to improve the experience .,follow_up
2710227,@AmericanAir AA 2767 out of MIA to EWR.,follow_up
1002991,@AmericanAir Not availability problem. Have to make a last minute change and now I have to forfeit all the miles I spent. Ridiculous.,booking_change
1837814,@AmericanAir Further down on website for basic economy it says 1 bag + personal item. Am I going to be charged extra if I go by what it says online?,baggage
2016408,@AmericanAir @116147 Preferred airline of American Nazi's. https://t.co/79nps14moj,non_support
2288416,"@AmericanAir The 66th Miss Universe Pageant officially start only when Miss Venezuela comes to the host country so, can you tell to all Venezuelans the status of flight number AAL325? tx",flight_information
2572457,@AmericanAir @729565 @329789 unfortunately the @188323 want to give the Trump boys a private plane tax cut so it will be cheaper for @301294 to bring the slaughter home to share with his family,non_support
1484538,@AmericanAir In DFW then re-check in the morning. Now you guys are holding my bags here DFW till tomorrow.,baggage
1622441,@AmericanAir Right - it works in the AP too.   Tracking doesn’t work when your bags get sent to baggage claim after checking in!   #RF #notmyfirsttrip,baggage
1736540,@AmericanAir I have given the details to countless people and I’m not going to type it all here. Look at my complaints by using my advant number 29F5AD4,follow_up
1782445,@AmericanAir All you've done is what I already did online. How is that helpful? Everything is forms and answering machines. No one is actually helping.,contact_support
2174435,@AmericanAir There was definitely a change charge to the tune of 70% of original cost. I guess the 3 hour delay was free of charge. Thanks again.,fees_charges
1520560,@AmericanAir It's all such a racket.,other_unclear
2813114,@AmericanAir Thank you!! Hoping it works out.,follow_up
1054354,@AmericanAir And wait until Monday!? Thanks for your outstanding efforts! You build loyal customers by going above and beyond not by doing the bare min!!,follow_up
1365064,@AmericanAir these situations need better communication.  We were told to go to a diff gate and now back w no corrective announcement,airport_gate_staff
2699896,@AmericanAir @758493 Have a safe flight back,non_support
96049,@AmericanAir I called. I was told there's a $200 change fee. Then the rep insisted on cancelling his reservation it appeared so rather than that seat go unused it could be re-sold despite the fact I wasn't offered a refund.,refund_compensation
1631934,"@AmericanAir It’s one of the weird travel things I get the most anxious about, so THANK YOU 🙏🏻🙏🏻🙏🏻",follow_up
1689776,@AmericanAir Understood. But when you’re told at the gate that “this flight won’t accommodate your carry-on” is frustrating. Especially when you’ve...,baggage
1048352,"@AmericanAir Here’s fine.

AA 4540 (DCA-JFK) moved from Gate 37-&gt;42 with no announcement at 37, sms alert, or on 37’s screen.

One guess on the outcome.",airport_gate_staff
1084105,@AmericanAir Also our @46987 is flying @americanair this week as they head into New Orleans! https://t.co/a0qK44K10s,non_support
333714,"@AmericanAir @158394 Classic #AAteam 
Hope it gets resolved Chris",non_support
2189547,"@AmericanAir Yes, I understand band appreciate that. If it fits it fits!  Just got off another flight with it!  Placed it in the model. Still you are not satisfied?  I have never, ever, seen this recourse from gate agents in the past! Should be better document if thus is your stance!",airport_gate_staff
1206247,@AmericanAir DM sent.,follow_up
1306894,"@AmericanAir Since 5pm we've had a dozen flight times from 8 to 12, back and forth. Different times on different screens. Horrendous communication",flight_disruption
907593,@AmericanAir AA0098. Also an update on the socks/ blanket situation would be nice 👍,onboard_aircraft
