customer_tweet_id,customer_message,agent_reply,human_relevance,human_helpfulness,human_grounding,human_clarity
1460835,@AmericanAir @americanair - why not just tell me you updated crew from economy to first.,Please send us your record locator so we can take a closer look. We apologize for any confusion or misinformation.,,,,
2748742,"@AmericanAir with not so friendly employees. I’m a patient person, but this is unacceptable. Customer service have to be a priority and a good one, because I’m paying for it and the least I expect is bad treatment.","We’re sorry for the poor experience and understand your frustration. We know your time and business are valuable, and we appreciate your patience.",,,,
1607048,@AmericanAir It’s not the delay @AmericanAir - maint issues happen. It’s the onboard treatment. A bag of pretzels is an insult. Let’s rethink american.,"We’re sorry for the onboard experience. We agree that good communication and care matter, and the team should be keeping customers updated as information becomes available. We’ll share your feedback with the team.",,,,
1103882,@AmericanAir All is well! Fixed it with an agent,Awesome! We're glad to hear everything was sorted out.,,,,
294436,@AmericanAir AA told her MUST use the ticket by 2-18 but her nephew's wedding had to be cancelled due to storm.  She has no reason to use the ticket,"If the flight was canceled, a refund may be due. Please send a request here: https://t.co/xM8Vkc7BvM. If you'd like us to review the booking, DM your six-letter record locator and we’ll take a look.",,,,
858641,@AmericanAir Then she said I had to check it as soon as I walked 1 minute from the plane to boarding gate . They said flight closed,We’re sorry for the trouble. Please send us a DM with your flight number and 6-letter booking code so we can look into what happened and help further.,,,,
1736540,@AmericanAir I have given the details to countless people and I’m not going to type it all here. Look at my complaints by using my advant number 29F5AD4,"We’re sorry for the frustration. We’re not able to view or access account details from this message alone, and we don’t have enough information here to review your complaint.

Please contact American Airlines support directly and have your AAdvantage number ready so an agent can look into your case and provide help.",,,,
2572457,@AmericanAir @729565 @329789 unfortunately the @188323 want to give the Trump boys a private plane tax cut so it will be cheaper for @301294 to bring the slaughter home to share with his family,"We’re sorry for the concern. We can’t assist with or comment on political statements or claims unrelated to a travel issue. If you need help with an American Airlines reservation, flight, or service concern, please contact American Airlines support directly.",,,,
1484538,@AmericanAir In DFW then re-check in the morning. Now you guys are holding my bags here DFW till tomorrow.,Please work with our airport team directly at DFW for assistance with your bags. We know you’re ready to be reunited.,,,,
701891,"@AmericanAir Yep, meant 5608. This is what 4.5 hours in an airport on Thanksgiving does to a person.","We know you want to be on your way, especially after a long Thanksgiving delay. We’re sorry for the extra time in the airport and are glad to help check on an update if you share your flight number.",,,,
