customer_tweet_id,intent,decision,reason
1952986,non_support,auto_handle,The request can be answered using historical support guidance.
548815,non_support,auto_handle,The request can be answered using historical support guidance.
2308158,non_support,auto_handle,The request can be answered using historical support guidance.
1528201,follow_up,auto_handle,The request can be answered using historical support guidance.
2813114,non_support,auto_handle,The request can be answered using historical support guidance.
1075780,non_support,auto_handle,The request can be answered using historical support guidance.
775494,contact_support,auto_handle,The request can be answered using historical support guidance.
2075103,contact_support,auto_handle,The request can be answered using historical support guidance.
578855,non_support,auto_handle,The request can be answered using historical support guidance.
1358740,other_unclear,escalate,other_unclear may require case-specific handling.
821839,flight_disruption,escalate,flight_disruption may require case-specific handling.
2943930,follow_up,auto_handle,The request can be answered using historical support guidance.
1084569,non_support,auto_handle,The request can be answered using historical support guidance.
1671871,non_support,auto_handle,The request can be answered using historical support guidance.
185681,non_support,auto_handle,The request can be answered using historical support guidance.
1103882,non_support,auto_handle,The request can be answered using historical support guidance.
1224737,non_support,auto_handle,The request can be answered using historical support guidance.
2174392,non_support,auto_handle,The request can be answered using historical support guidance.
2057543,contact_support,auto_handle,The request can be answered using historical support guidance.
2710227,flight_information,auto_handle,The request can be answered using historical support guidance.
2699896,non_support,auto_handle,The request can be answered using historical support guidance.
1803430,flight_information,auto_handle,The request can be answered using historical support guidance.
994691,follow_up,auto_handle,The request can be answered using historical support guidance.
2417180,non_support,auto_handle,The request can be answered using historical support guidance.
664494,follow_up,auto_handle,The request can be answered using historical support guidance.
106586,non_support,auto_handle,The request can be answered using historical support guidance.
1206247,contact_support,auto_handle,The request can be answered using historical support guidance.
312228,other_unclear,escalate,other_unclear may require case-specific handling.
991322,follow_up,auto_handle,The request can be answered using historical support guidance.
2844768,non_support,auto_handle,The request can be answered using historical support guidance.
1411117,other_unclear,escalate,other_unclear may require case-specific handling.
1520560,non_support,auto_handle,The request can be answered using historical support guidance.
2384389,contact_support,auto_handle,The request can be answered using historical support guidance.
2919509,follow_up,auto_handle,The request can be answered using historical support guidance.
32540,follow_up,auto_handle,The request can be answered using historical support guidance.
842047,contact_support,auto_handle,The request can be answered using historical support guidance.
205373,follow_up,auto_handle,The request can be answered using historical support guidance.
2143131,non_support,auto_handle,The request can be answered using historical support guidance.
